	sample_id	locus	sequence_length	mapped_reads	unmapped_reads
15	Bacto-11_S11.rg	caiA_MLST_Brucella	449	376856	5590
16	Bacto-11_S11.rg	caiB_MLST_Lepto	402	0	0
17	Bacto-11_S11.rg	cobQ_1_MLST_Brucella	422	619068	68043
18	Bacto-11_S11.rg	csdB_MLST_Brucella	487	413556	14847
19	Bacto-11_S11.rg	ddlA_MLST_Brucella	553	924945	27471
20	Bacto-11_S11.rg	dnaK_MLST_Brucella	470	157387	4564
21	Bacto-11_S11.rg	fbaA_1_MLST_Brucella	458	210955	14111
22	Bacto-11_S11.rg	flaA_MLST_Bartonella	517	0	0
23	Bacto-11_S11.rg	ftsZ_B_1_MLST_Bartonella	497	0	0
24	Bacto-11_S11.rg	ftsZ_H_1_MLST_Bartonella	483	0	0
25	Bacto-11_S11.rg	fumC_MLST_Brucella	452	238904	8014
26	Bacto-11_S11.rg	gap_MLST_Brucella	589	433544	13266
27	Bacto-11_S11.rg	glk_MLST_Brucella	475	409250	9427
28	Bacto-11_S11.rg	glmU_MLST_Lepto	444	0	0
29	Bacto-11_S11.rg	gltA_MLST_Bartonella	338	0	0
30	Bacto-11_S11.rg	groEL_MLST_Bartonella	442	0	0
31	Bacto-11_S11.rg	gyrB_MLST_Brucella	469	360594	11865
32	Bacto-11_S11.rg	icdA_MLST_Lepto	557	0	0
33	Bacto-11_S11.rg	int_hyp_1_MLST_Brucella	430	503422	20393
34	Bacto-11_S11.rg	leuA_MLST_Brucella	482	513647	64626
35	Bacto-11_S11.rg	lipL32_MLST_Lepto	450	0	0
36	Bacto-11_S11.rg	lipL41_MLST_Lepto	493	0	0
37	Bacto-11_S11.rg	mreA_MLST_Lepto	435	0	0
38	Bacto-11_S11.rg	mutL_MLST_Brucella	549	264655	16118
39	Bacto-11_S11.rg	mviM_1_MLST_Brucella	447	209693	8174
40	Bacto-11_S11.rg	nlpD_1_MLST_Bartonella	494	0	0
41	Bacto-11_S11.rg	omp25_MLST_Brucella	490	584218	15391
42	Bacto-11_S11.rg	pfkB__MLST_Lepto	432	0	0
43	Bacto-11_S11.rg	pntA_MLST_Lepto	525	0	0
44	Bacto-11_S11.rg	prpE_MLST_Brucella	468	323198	12264
45	Bacto-11_S11.rg	putA_MLST_Brucella	527	281803	6140
46	Bacto-11_S11.rg	ribC_MLST_Bartonella	349	0	0
47	Bacto-11_S11.rg	rnpB_MLST_Bartonella	297	2627	1325
48	Bacto-11_S11.rg	rpoB_MLST_Bartonella	363	0	0
49	Bacto-11_S11.rg	soxA_1_MLST_Brucella	486	439454	12788
50	Bacto-11_S11.rg	sucA_MLST_Lepto	447	0	0
51	Bacto-11_S11.rg	trpE_MLST_Brucella	486	425460	30576
52	Bacto-11_S11.rg	*	0	0	7773708
0	Bacto-12_S12.rg	Cox2_MST_Coxiella	356	0	0
1	Bacto-12_S12.rg	Cox5_MST_Coxiella	353	0	0
2	Bacto-12_S12.rg	Cox18_MST_Coxiella	516	10	0
3	Bacto-12_S12.rg	Cox20_MST_Coxiella	585	0	0
4	Bacto-12_S12.rg	Cox22_MST_Coxiella	340	0	0
5	Bacto-12_S12.rg	Cox37_MST_Coxiella	422	0	0
6	Bacto-12_S12.rg	Cox51_MST_Coxiella	634	0	0
7	Bacto-12_S12.rg	Cox56_MST_Coxiella	452	0	0
8	Bacto-12_S12.rg	Cox57_MST_Coxiella	565	0	0
9	Bacto-12_S12.rg	Cox61_MST_Coxiella	569	0	0
10	Bacto-12_S12.rg	acnA_MLST_Brucella	490	108270	9320
11	Bacto-12_S12.rg	adk_MLST_Lepto	430	0	0
12	Bacto-12_S12.rg	aroA_MLST_Brucella	565	148933	15577
13	Bacto-12_S12.rg	batR_1_MLST_Bartonella	487	0	0
14	Bacto-12_S12.rg	bvrR_1_MLST_Bartonella	486	0	0
15	Bacto-12_S12.rg	caiA_MLST_Brucella	449	121052	5442
16	Bacto-12_S12.rg	caiB_MLST_Lepto	402	0	0
17	Bacto-12_S12.rg	cobQ_1_MLST_Brucella	422	166074	27156
18	Bacto-12_S12.rg	csdB_MLST_Brucella	487	183826	18425
19	Bacto-12_S12.rg	ddlA_MLST_Brucella	553	276231	26462
20	Bacto-12_S12.rg	dnaK_MLST_Brucella	470	95796	8285
21	Bacto-12_S12.rg	fbaA_1_MLST_Brucella	458	119143	15044
22	Bacto-12_S12.rg	flaA_MLST_Bartonella	517	0	0
23	Bacto-12_S12.rg	ftsZ_B_1_MLST_Bartonella	497	0	0
24	Bacto-12_S12.rg	ftsZ_H_1_MLST_Bartonella	483	0	0
25	Bacto-12_S12.rg	fumC_MLST_Brucella	452	107249	10168
26	Bacto-12_S12.rg	gap_MLST_Brucella	589	177139	14371
27	Bacto-12_S12.rg	glk_MLST_Brucella	475	130150	9502
28	Bacto-12_S12.rg	glmU_MLST_Lepto	444	0	0
29	Bacto-12_S12.rg	gltA_MLST_Bartonella	338	0	0
30	Bacto-12_S12.rg	groEL_MLST_Bartonella	442	0	0
31	Bacto-12_S12.rg	gyrB_MLST_Brucella	469	140617	11151
32	Bacto-12_S12.rg	icdA_MLST_Lepto	557	0	0
33	Bacto-12_S12.rg	int_hyp_1_MLST_Brucella	430	171916	21580
34	Bacto-12_S12.rg	leuA_MLST_Brucella	482	201555	36467
35	Bacto-12_S12.rg	lipL32_MLST_Lepto	450	0	0
36	Bacto-12_S12.rg	lipL41_MLST_Lepto	493	0	0
37	Bacto-12_S12.rg	mreA_MLST_Lepto	435	0	0
38	Bacto-12_S12.rg	mutL_MLST_Brucella	549	133191	14287
39	Bacto-12_S12.rg	mviM_1_MLST_Brucella	447	104270	11491
40	Bacto-12_S12.rg	nlpD_1_MLST_Bartonella	494	0	0
41	Bacto-12_S12.rg	omp25_MLST_Brucella	490	193781	17549
42	Bacto-12_S12.rg	pfkB__MLST_Lepto	432	0	0
43	Bacto-12_S12.rg	pntA_MLST_Lepto	525	0	0
44	Bacto-12_S12.rg	prpE_MLST_Brucella	468	162405	15267
45	Bacto-12_S12.rg	putA_MLST_Brucella	527	109472	6449
46	Bacto-12_S12.rg	ribC_MLST_Bartonella	349	0	0
47	Bacto-12_S12.rg	rnpB_MLST_Bartonella	297	2448	1434
48	Bacto-12_S12.rg	rpoB_MLST_Bartonella	363	0	0
49	Bacto-12_S12.rg	soxA_1_MLST_Brucella	486	162118	11580
50	Bacto-12_S12.rg	sucA_MLST_Lepto	447	0	0
51	Bacto-12_S12.rg	trpE_MLST_Brucella	486	147945	21513
52	Bacto-12_S12.rg	*	0	0	6198992
0	Bacto-13_S13.rg	Cox2_MST_Coxiella	356	0	0
1	Bacto-13_S13.rg	Cox5_MST_Coxiella	353	2	0
2	Bacto-13_S13.rg	Cox18_MST_Coxiella	516	13	1
3	Bacto-13_S13.rg	Cox20_MST_Coxiella	585	0	0
4	Bacto-13_S13.rg	Cox22_MST_Coxiella	340	0	0
5	Bacto-13_S13.rg	Cox37_MST_Coxiella	422	0	0
6	Bacto-13_S13.rg	Cox51_MST_Coxiella	634	0	0
7	Bacto-13_S13.rg	Cox56_MST_Coxiella	452	2	0
8	Bacto-13_S13.rg	Cox57_MST_Coxiella	565	0	0
9	Bacto-13_S13.rg	Cox61_MST_Coxiella	569	0	0
10	Bacto-13_S13.rg	acnA_MLST_Brucella	490	121886	3437
11	Bacto-13_S13.rg	adk_MLST_Lepto	430	0	0
12	Bacto-13_S13.rg	aroA_MLST_Brucella	565	230097	6724
13	Bacto-13_S13.rg	batR_1_MLST_Bartonella	487	0	0
14	Bacto-13_S13.rg	bvrR_1_MLST_Bartonella	486	0	0
15	Bacto-13_S13.rg	caiA_MLST_Brucella	449	225000	735
16	Bacto-13_S13.rg	caiB_MLST_Lepto	402	0	0
17	Bacto-13_S13.rg	cobQ_1_MLST_Brucella	422	362595	25958
18	Bacto-13_S13.rg	csdB_MLST_Brucella	487	354764	8966
19	Bacto-13_S13.rg	ddlA_MLST_Brucella	553	678891	15357
20	Bacto-13_S13.rg	dnaK_MLST_Brucella	470	102829	1675
21	Bacto-13_S13.rg	fbaA_1_MLST_Brucella	458	151564	6880
22	Bacto-13_S13.rg	flaA_MLST_Bartonella	517	0	0
23	Bacto-13_S13.rg	ftsZ_B_1_MLST_Bartonella	497	0	0
24	Bacto-13_S13.rg	ftsZ_H_1_MLST_Bartonella	483	0	0
25	Bacto-13_S13.rg	fumC_MLST_Brucella	452	140288	3121
26	Bacto-13_S13.rg	gap_MLST_Brucella	589	263323	6008
27	Bacto-13_S13.rg	glk_MLST_Brucella	475	221666	2074
28	Bacto-13_S13.rg	glmU_MLST_Lepto	444	0	0
29	Bacto-13_S13.rg	gltA_MLST_Bartonella	338	0	0
30	Bacto-13_S13.rg	groEL_MLST_Bartonella	442	0	0
31	Bacto-13_S13.rg	gyrB_MLST_Brucella	469	239934	3135
32	Bacto-13_S13.rg	icdA_MLST_Lepto	557	0	0
33	Bacto-13_S13.rg	int_hyp_1_MLST_Brucella	430	336358	9950
34	Bacto-13_S13.rg	leuA_MLST_Brucella	482	372785	29769
35	Bacto-13_S13.rg	lipL32_MLST_Lepto	450	0	0
36	Bacto-13_S13.rg	lipL41_MLST_Lepto	493	0	0
37	Bacto-13_S13.rg	mreA_MLST_Lepto	435	0	0
38	Bacto-13_S13.rg	mutL_MLST_Brucella	549	168108	6897
39	Bacto-13_S13.rg	mviM_1_MLST_Brucella	447	143969	4646
40	Bacto-13_S13.rg	nlpD_1_MLST_Bartonella	494	0	0
41	Bacto-13_S13.rg	omp25_MLST_Brucella	490	389906	7013
42	Bacto-13_S13.rg	pfkB__MLST_Lepto	432	0	0
43	Bacto-13_S13.rg	pntA_MLST_Lepto	525	0	0
44	Bacto-13_S13.rg	prpE_MLST_Brucella	468	244670	6742
45	Bacto-13_S13.rg	putA_MLST_Brucella	527	142756	1171
46	Bacto-13_S13.rg	ribC_MLST_Bartonella	349	2	0
47	Bacto-13_S13.rg	rnpB_MLST_Bartonella	297	864	370
48	Bacto-13_S13.rg	rpoB_MLST_Bartonella	363	0	0
49	Bacto-13_S13.rg	soxA_1_MLST_Brucella	486	292746	5245
50	Bacto-13_S13.rg	sucA_MLST_Lepto	447	0	0
51	Bacto-13_S13.rg	trpE_MLST_Brucella	486	252016	9317
52	Bacto-13_S13.rg	*	0	0	7008128
0	Bacto-14_S14.rg	Cox2_MST_Coxiella	356	0	0
1	Bacto-14_S14.rg	Cox5_MST_Coxiella	353	0	0
2	Bacto-14_S14.rg	Cox18_MST_Coxiella	516	58	0
3	Bacto-14_S14.rg	Cox20_MST_Coxiella	585	0	0
4	Bacto-14_S14.rg	Cox22_MST_Coxiella	340	0	0
5	Bacto-14_S14.rg	Cox37_MST_Coxiella	422	0	0
6	Bacto-14_S14.rg	Cox51_MST_Coxiella	634	1	1
7	Bacto-14_S14.rg	Cox56_MST_Coxiella	452	0	0
8	Bacto-14_S14.rg	Cox57_MST_Coxiella	565	0	0
9	Bacto-14_S14.rg	Cox61_MST_Coxiella	569	0	0
10	Bacto-14_S14.rg	acnA_MLST_Brucella	490	93921	3207
11	Bacto-14_S14.rg	adk_MLST_Lepto	430	0	0
12	Bacto-14_S14.rg	aroA_MLST_Brucella	565	128977	6929
13	Bacto-14_S14.rg	batR_1_MLST_Bartonella	487	0	0
14	Bacto-14_S14.rg	bvrR_1_MLST_Bartonella	486	0	0
15	Bacto-14_S14.rg	caiA_MLST_Brucella	449	92889	1109
16	Bacto-14_S14.rg	caiB_MLST_Lepto	402	0	0
17	Bacto-14_S14.rg	cobQ_1_MLST_Brucella	422	151491	13169
18	Bacto-14_S14.rg	csdB_MLST_Brucella	487	166017	8395
19	Bacto-14_S14.rg	ddlA_MLST_Brucella	553	278078	16030
20	Bacto-14_S14.rg	dnaK_MLST_Brucella	470	84838	2887
21	Bacto-14_S14.rg	fbaA_1_MLST_Brucella	458	105459	6280
22	Bacto-14_S14.rg	flaA_MLST_Bartonella	517	0	0
23	Bacto-14_S14.rg	ftsZ_B_1_MLST_Bartonella	497	0	0
24	Bacto-14_S14.rg	ftsZ_H_1_MLST_Bartonella	483	0	0
25	Bacto-14_S14.rg	fumC_MLST_Brucella	452	94192	4398
26	Bacto-14_S14.rg	gap_MLST_Brucella	589	153828	5141
27	Bacto-14_S14.rg	glk_MLST_Brucella	475	108305	2181
28	Bacto-14_S14.rg	glmU_MLST_Lepto	444	0	0
29	Bacto-14_S14.rg	gltA_MLST_Bartonella	338	0	0
30	Bacto-14_S14.rg	groEL_MLST_Bartonella	442	0	0
31	Bacto-14_S14.rg	gyrB_MLST_Brucella	469	120539	3390
32	Bacto-14_S14.rg	icdA_MLST_Lepto	557	0	0
33	Bacto-14_S14.rg	int_hyp_1_MLST_Brucella	430	157743	10412
34	Bacto-14_S14.rg	leuA_MLST_Brucella	482	180961	13530
35	Bacto-14_S14.rg	lipL32_MLST_Lepto	450	0	0
36	Bacto-14_S14.rg	lipL41_MLST_Lepto	493	0	0
37	Bacto-14_S14.rg	mreA_MLST_Lepto	435	0	0
38	Bacto-14_S14.rg	mutL_MLST_Brucella	549	115625	5924
39	Bacto-14_S14.rg	mviM_1_MLST_Brucella	447	91761	4659
40	Bacto-14_S14.rg	nlpD_1_MLST_Bartonella	494	0	0
41	Bacto-14_S14.rg	omp25_MLST_Brucella	490	181315	7119
42	Bacto-14_S14.rg	pfkB__MLST_Lepto	432	0	0
43	Bacto-14_S14.rg	pntA_MLST_Lepto	525	0	0
44	Bacto-14_S14.rg	prpE_MLST_Brucella	468	145437	6434
45	Bacto-14_S14.rg	putA_MLST_Brucella	527	83312	1287
46	Bacto-14_S14.rg	ribC_MLST_Bartonella	349	0	0
47	Bacto-14_S14.rg	rnpB_MLST_Bartonella	297	2137	833
48	Bacto-14_S14.rg	rpoB_MLST_Bartonella	363	0	0
49	Bacto-14_S14.rg	soxA_1_MLST_Brucella	486	133568	3599
50	Bacto-14_S14.rg	sucA_MLST_Lepto	447	0	0
51	Bacto-14_S14.rg	trpE_MLST_Brucella	486	121847	5947
52	Bacto-14_S14.rg	*	0	0	6072356
0	Bacto-15_S15.rg	Cox2_MST_Coxiella	356	0	0
1	Bacto-15_S15.rg	Cox5_MST_Coxiella	353	0	0
2	Bacto-15_S15.rg	Cox18_MST_Coxiella	516	2	0
3	Bacto-15_S15.rg	Cox20_MST_Coxiella	585	0	0
4	Bacto-15_S15.rg	Cox22_MST_Coxiella	340	0	0
5	Bacto-15_S15.rg	Cox37_MST_Coxiella	422	0	0
6	Bacto-15_S15.rg	Cox51_MST_Coxiella	634	0	0
7	Bacto-15_S15.rg	Cox56_MST_Coxiella	452	0	0
8	Bacto-15_S15.rg	Cox57_MST_Coxiella	565	0	0
9	Bacto-15_S15.rg	Cox61_MST_Coxiella	569	0	0
10	Bacto-15_S15.rg	acnA_MLST_Brucella	490	69189	333
11	Bacto-15_S15.rg	adk_MLST_Lepto	430	0	0
12	Bacto-15_S15.rg	aroA_MLST_Brucella	565	104352	1263
13	Bacto-15_S15.rg	batR_1_MLST_Bartonella	487	0	0
14	Bacto-15_S15.rg	bvrR_1_MLST_Bartonella	486	0	0
15	Bacto-15_S15.rg	caiA_MLST_Brucella	449	96304	47
16	Bacto-15_S15.rg	caiB_MLST_Lepto	402	0	0
17	Bacto-15_S15.rg	cobQ_1_MLST_Brucella	422	207254	9048
18	Bacto-15_S15.rg	csdB_MLST_Brucella	487	238237	1503
19	Bacto-15_S15.rg	ddlA_MLST_Brucella	553	573924	6560
20	Bacto-15_S15.rg	dnaK_MLST_Brucella	470	40823	203
21	Bacto-15_S15.rg	fbaA_1_MLST_Brucella	458	74431	841
22	Bacto-15_S15.rg	flaA_MLST_Bartonella	517	0	0
23	Bacto-15_S15.rg	ftsZ_B_1_MLST_Bartonella	497	0	0
24	Bacto-15_S15.rg	ftsZ_H_1_MLST_Bartonella	483	0	0
25	Bacto-15_S15.rg	fumC_MLST_Brucella	452	57640	1454
26	Bacto-15_S15.rg	gap_MLST_Brucella	589	116213	990
27	Bacto-15_S15.rg	glk_MLST_Brucella	475	84775	91
28	Bacto-15_S15.rg	glmU_MLST_Lepto	444	0	0
29	Bacto-15_S15.rg	gltA_MLST_Bartonella	338	0	0
30	Bacto-15_S15.rg	groEL_MLST_Bartonella	442	0	0
31	Bacto-15_S15.rg	gyrB_MLST_Brucella	469	122189	449
32	Bacto-15_S15.rg	icdA_MLST_Lepto	557	0	0
33	Bacto-15_S15.rg	int_hyp_1_MLST_Brucella	430	201370	4255
34	Bacto-15_S15.rg	leuA_MLST_Brucella	482	203943	5778
35	Bacto-15_S15.rg	lipL32_MLST_Lepto	450	0	0
36	Bacto-15_S15.rg	lipL41_MLST_Lepto	493	0	0
37	Bacto-15_S15.rg	mreA_MLST_Lepto	435	0	0
38	Bacto-15_S15.rg	mutL_MLST_Brucella	549	87823	2450
39	Bacto-15_S15.rg	mviM_1_MLST_Brucella	447	87197	825
40	Bacto-15_S15.rg	nlpD_1_MLST_Bartonella	494	0	0
41	Bacto-15_S15.rg	omp25_MLST_Brucella	490	186649	1635
42	Bacto-15_S15.rg	pfkB__MLST_Lepto	432	0	0
43	Bacto-15_S15.rg	pntA_MLST_Lepto	525	0	0
44	Bacto-15_S15.rg	prpE_MLST_Brucella	468	156387	3379
45	Bacto-15_S15.rg	putA_MLST_Brucella	527	54829	139
46	Bacto-15_S15.rg	ribC_MLST_Bartonella	349	2	0
47	Bacto-15_S15.rg	rnpB_MLST_Bartonella	297	165	71
48	Bacto-15_S15.rg	rpoB_MLST_Bartonella	363	0	0
49	Bacto-15_S15.rg	soxA_1_MLST_Brucella	486	157388	540
50	Bacto-15_S15.rg	sucA_MLST_Lepto	447	0	0
51	Bacto-15_S15.rg	trpE_MLST_Brucella	486	106668	1017
52	Bacto-15_S15.rg	*	0	0	5205426
0	Bacto-16_S1.rg	Cox2_MST_Coxiella	356	0	0
1	Bacto-16_S1.rg	Cox5_MST_Coxiella	353	0	0
2	Bacto-16_S1.rg	Cox18_MST_Coxiella	516	120	0
3	Bacto-16_S1.rg	Cox20_MST_Coxiella	585	0	0
4	Bacto-16_S1.rg	Cox22_MST_Coxiella	340	0	0
5	Bacto-16_S1.rg	Cox37_MST_Coxiella	422	0	0
6	Bacto-16_S1.rg	Cox51_MST_Coxiella	634	0	0
7	Bacto-16_S1.rg	Cox56_MST_Coxiella	452	0	0
8	Bacto-16_S1.rg	Cox57_MST_Coxiella	565	0	0
9	Bacto-16_S1.rg	Cox61_MST_Coxiella	569	0	0
10	Bacto-16_S1.rg	acnA_MLST_Brucella	490	328657	3654
11	Bacto-16_S1.rg	adk_MLST_Lepto	430	0	0
12	Bacto-16_S1.rg	aroA_MLST_Brucella	565	431704	13062
13	Bacto-16_S1.rg	batR_1_MLST_Bartonella	487	0	0
14	Bacto-16_S1.rg	bvrR_1_MLST_Bartonella	486	0	0
15	Bacto-16_S1.rg	caiA_MLST_Brucella	449	269674	1698
16	Bacto-16_S1.rg	caiB_MLST_Lepto	402	0	0
17	Bacto-16_S1.rg	cobQ_1_MLST_Brucella	422	556180	27388
18	Bacto-16_S1.rg	csdB_MLST_Brucella	487	661390	18252
19	Bacto-16_S1.rg	ddlA_MLST_Brucella	553	990682	38542
20	Bacto-16_S1.rg	dnaK_MLST_Brucella	470	274253	4069
21	Bacto-16_S1.rg	fbaA_1_MLST_Brucella	458	280918	10474
22	Bacto-16_S1.rg	flaA_MLST_Bartonella	517	0	0
23	Bacto-16_S1.rg	ftsZ_B_1_MLST_Bartonella	497	0	0
24	Bacto-16_S1.rg	ftsZ_H_1_MLST_Bartonella	483	0	0
25	Bacto-16_S1.rg	fumC_MLST_Brucella	452	303680	10261
26	Bacto-16_S1.rg	gap_MLST_Brucella	589	509866	6217
27	Bacto-16_S1.rg	glk_MLST_Brucella	475	357542	3039
28	Bacto-16_S1.rg	glmU_MLST_Lepto	444	0	0
29	Bacto-16_S1.rg	gltA_MLST_Bartonella	338	0	0
30	Bacto-16_S1.rg	groEL_MLST_Bartonella	442	0	0
31	Bacto-16_S1.rg	gyrB_MLST_Brucella	469	482487	4565
32	Bacto-16_S1.rg	icdA_MLST_Lepto	557	0	0
33	Bacto-16_S1.rg	int_hyp_1_MLST_Brucella	430	557354	16938
34	Bacto-16_S1.rg	leuA_MLST_Brucella	482	708905	31846
35	Bacto-16_S1.rg	lipL32_MLST_Lepto	450	0	0
36	Bacto-16_S1.rg	lipL41_MLST_Lepto	493	0	0
37	Bacto-16_S1.rg	mreA_MLST_Lepto	435	0	0
38	Bacto-16_S1.rg	mutL_MLST_Brucella	549	461306	16874
39	Bacto-16_S1.rg	mviM_1_MLST_Brucella	447	287548	11592
40	Bacto-16_S1.rg	nlpD_1_MLST_Bartonella	494	0	0
41	Bacto-16_S1.rg	omp25_MLST_Brucella	490	595243	21172
42	Bacto-16_S1.rg	pfkB__MLST_Lepto	432	0	0
43	Bacto-16_S1.rg	pntA_MLST_Lepto	525	0	0
44	Bacto-16_S1.rg	prpE_MLST_Brucella	468	569973	12473
45	Bacto-16_S1.rg	putA_MLST_Brucella	527	261558	1172
46	Bacto-16_S1.rg	ribC_MLST_Bartonella	349	16	0
47	Bacto-16_S1.rg	rnpB_MLST_Bartonella	297	4810	1428
48	Bacto-16_S1.rg	rpoB_MLST_Bartonella	363	0	0
49	Bacto-16_S1.rg	soxA_1_MLST_Brucella	486	447441	11819
50	Bacto-16_S1.rg	sucA_MLST_Lepto	447	0	0
51	Bacto-16_S1.rg	trpE_MLST_Brucella	486	397657	12441
52	Bacto-16_S1.rg	*	0	0	20833592
0	Bacto-17_S17.rg	Cox2_MST_Coxiella	356	0	0
1	Bacto-17_S17.rg	Cox5_MST_Coxiella	353	0	0
2	Bacto-17_S17.rg	Cox18_MST_Coxiella	516	10	0
3	Bacto-17_S17.rg	Cox20_MST_Coxiella	585	0	0
4	Bacto-17_S17.rg	Cox22_MST_Coxiella	340	0	0
5	Bacto-17_S17.rg	Cox37_MST_Coxiella	422	0	0
6	Bacto-17_S17.rg	Cox51_MST_Coxiella	634	0	0
7	Bacto-17_S17.rg	Cox56_MST_Coxiella	452	2	0
8	Bacto-17_S17.rg	Cox57_MST_Coxiella	565	0	0
9	Bacto-17_S17.rg	Cox61_MST_Coxiella	569	0	0
10	Bacto-17_S17.rg	acnA_MLST_Brucella	490	52996	9189
11	Bacto-17_S17.rg	adk_MLST_Lepto	430	2	0
12	Bacto-17_S17.rg	aroA_MLST_Brucella	565	93035	13235
13	Bacto-17_S17.rg	batR_1_MLST_Bartonella	487	0	0
14	Bacto-17_S17.rg	bvrR_1_MLST_Bartonella	486	0	0
15	Bacto-17_S17.rg	caiA_MLST_Brucella	449	98926	12393
16	Bacto-17_S17.rg	caiB_MLST_Lepto	402	0	0
17	Bacto-17_S17.rg	cobQ_1_MLST_Brucella	422	150397	41664
18	Bacto-17_S17.rg	csdB_MLST_Brucella	487	134149	20585
